Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,,Science to Ideal Polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment,Sci2IdlDeg,Sci2IdlX00,Sci2IdlX10,Sci2IdlX11,Sci2IdlX20,Sci2IdlX21,Sci2IdlX22,Sci2IdlX30,Sci2IdlX31,Sci2IdlX32,Sci2IdlX33,Sci2IdlX40,Sci2IdlX41,Sci2IdlX42,Sci2IdlX43,Sci2IdlX44,Sci2IdlX50,Sci2IdlX51,Sci2IdlX52,Sci2IdlX53,Sci2IdlX54,Sci2IdlX55,Sci2IdlY00,Sci2IdlY10,Sci2IdlY11,Sci2IdlY20,Sci2IdlY21,Sci2IdlY22,Sci2IdlY30,Sci2IdlY31,Sci2IdlY32,Sci2IdlY33,Sci2IdlY40,Sci2IdlY41,Sci2IdlY42,Sci2IdlY43,Sci2IdlY44,Sci2IdlY50,Sci2IdlY51,Sci2IdlY52,Sci2IdlY53,Sci2IdlY54,Sci2IdlY55,Idl2SciX00,Idl2SciX10,Idl2SciX11,Idl2SciX20,Idl2SciX21,Idl2SciX22,Idl2SciX30,Idl2SciX31,Idl2SciX32,Idl2SciX33,Idl2SciX40,Idl2SciX41,Idl2SciX42,Idl2SciX43,Idl2SciX44,Idl2SciX50,Idl2SciX51,Idl2SciX52,Idl2SciX53,Idl2SciX54,Idl2SciX55,Idl2SciY00,Idl2SciY10,Idl2SciY11,Idl2SciY20,Idl2SciY21,Idl2SciY22,Idl2SciY30,Idl2SciY31,Idl2SciY32,Idl2SciY33,Idl2SciY40,Idl2SciY41,Idl2SciY42,Idl2SciY43,Idl2SciY44,Idl2SciY50,Idl2SciY51,Idl2SciY52,Idl2SciY53,Idl2SciY54,Idl2SciY55
NIRCAM,NRCALL_FULL,NRCALL_CNTR,COMPOUND,QUAD,,,,,,,,,,,-0.3174,-492.5913,-0.0265,-1,, ,,,-153.4509,153.4509,151.7218,-151.7218,-66.7528,-64.4723,66.6570,64.5681,2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIRCAM,NRCAS_FULL,NRCA_CNTR,COMPOUND,QUAD,,,,,,,,,,,81.3486,-498.2281,-0.0989,-1,,,,,-71.7102,61.9668,60.4270,-70.1471,-61.1689,-61.8880,70.3334,70.1541,2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIRCAM,NRCA1_FULL,NRCA_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.031145,0.031333,120.6714,-527.3877,-0.5738,-1,0.0,-1,-90.4753,-0.5738,-32.1719,32.0995,31.6661,-31.7252,-32.2093,-32.1769,32.1212,31.9246,2014-01-01,,5,0.00000E+00,3.11450E-02,0.00000E+00,3.19296E-09,-2.09854E-07,-3.45451E-08,9.98433E-12,2.07312E-12,1.16114E-11,1.02269E-12,-7.28858E-16,-9.01713E-16,-9.36343E-16,-8.89534E-16,-1.69081E-16,1.40202E-19,1.07762E-20,2.87120E-19,9.20540E-21,1.43515E-19,-1.75089E-22,0.00000E+00,5.35493E-05,3.13335E-02,6.52433E-08,3.91325E-08,-1.46390E-07,6.20123E-13,9.58663E-12,1.63279E-12,1.13863E-11,-1.41838E-16,-6.51222E-16,-1.15162E-15,-6.24975E-16,-9.32669E-16,4.18516E-21,1.55935E-19,1.75359E-20,2.92096E-19,1.22758E-20,1.34127E-19,2.57980E+00,3.20017E+01,-3.70625E-01,1.75557E-03,8.10061E-03,1.55770E-03,-2.66101E-05,-1.39010E-05,-2.00083E-05,-3.02335E-06,8.87642E-08,7.06680E-08,9.65380E-08,4.73259E-08,1.45796E-08,-2.37495E-10,-1.14089E-10,-3.93751E-10,-1.27794E-10,-1.61520E-10,-1.97826E-11,1.00817E+00,2.33993E-01,3.18814E+01,-1.66421E-03,-2.93754E-04,5.26247E-03,-3.66132E-06,-2.05060E-05,-9.35795E-06,-1.40464E-05,1.51800E-08,5.76030E-08,6.48207E-08,5.37523E-08,2.97668E-08,-1.25855E-11,-1.84710E-10,-1.01665E-10,-3.05614E-10,-8.63082E-11,-1.16479E-10
NIRCAM,NRCA2_FULL,NRCA_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030762,0.030861,120.1121,-459.6806,-0.2121,-1,180.0,-1,-90.2628,-0.2121,-31.7231,31.6667,31.3135,-31.3796,-31.5511,-31.6941,31.6303,31.6116,2014-01-01,,5,0.00000E+00,3.07617E-02,3.27971E-18,3.78692E-09,-1.66075E-07,-3.29971E-08,9.39581E-12,-1.85616E-12,9.90046E-12,-4.16255E-13,-7.05186E-16,3.50820E-16,-8.74004E-16,3.62134E-16,-1.68652E-16,1.40799E-19,1.11211E-20,2.88368E-19,1.01389E-20,1.44172E-19,4.33434E-22,0.00000E+00,-2.72508E-05,3.08613E-02,8.38352E-08,3.85602E-08,-8.46336E-08,-7.68727E-13,8.76109E-12,-2.17489E-12,9.65818E-12,2.02700E-16,-5.78132E-16,7.68233E-16,-5.22013E-16,5.32993E-16,3.44618E-21,1.56499E-19,1.54886E-20,2.93225E-19,1.10094E-20,1.34691E-19,1.26128E+00,3.24454E+01,-1.23923E-01,1.17058E-03,5.83230E-03,1.27918E-03,-2.34274E-05,-2.58542E-06,-1.47480E-05,-2.18478E-10,8.02994E-08,1.71669E-08,6.98585E-08,3.49528E-09,7.76815E-09,-2.37313E-10,-1.14351E-10,-3.93614E-10,-1.28262E-10,-1.61552E-10,-1.99795E-11,1.17073E-01,1.51398E-01,3.23970E+01,-2.84912E-03,-9.52436E-04,2.86241E-03,-1.99248E-07,-1.58406E-05,-7.97103E-07,-1.12974E-05,2.56233E-09,4.33624E-08,2.51248E-09,3.00043E-08,-9.70946E-09,-1.23517E-11,-1.84437E-10,-1.01221E-10,-3.05234E-10,-8.60985E-11,-1.16370E-10
NIRCAM,NRCA3_FULL,NRCA_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.031286,0.031456,51.9345,-527.8034,0.1855,-1,0.0,-1,-90.0175,0.1855,-32.2239,32.3407,31.8869,-31.7881,-32.1172,-32.5245,32.1142,32.1778,2014-01-01,,5,0.00000E+00,3.12854E-02,0.00000E+00,6.40801E-08,-2.12106E-07,-1.26797E-08,1.03618E-11,-3.43530E-12,1.16182E-11,-7.26479E-13,8.14552E-16,-7.97021E-16,9.46146E-16,-8.39962E-16,1.33667E-16,1.40064E-19,1.30880E-20,2.86926E-19,1.35462E-20,1.43437E-19,1.80360E-21,0.00000E+00,-1.10842E-04,3.14556E-02,6.46316E-08,8.19338E-08,-1.47994E-07,-5.80214E-13,9.87937E-12,-3.36401E-12,1.14393E-11,-1.08191E-16,7.34842E-16,-1.05111E-15,6.73892E-16,-9.08656E-16,2.12502E-21,1.55553E-19,1.34765E-20,2.91479E-19,1.03282E-20,1.33874E-19,1.49993E-01,3.19591E+01,1.02621E-01,-1.98480E-03,7.05771E-03,5.05877E-04,-1.34450E-05,-2.56039E-06,-1.23575E-05,-3.66172E-07,7.16671E-09,3.96353E-08,1.54536E-08,3.00280E-08,3.49301E-09,-2.37506E-10,-1.13945E-10,-3.93715E-10,-1.27512E-10,-1.61471E-10,-1.96586E-11,2.30576E-02,6.20736E-03,3.17871E+01,-2.02655E-03,-2.52981E-03,4.90960E-03,-9.91803E-08,-1.39095E-05,-1.91775E-06,-1.18421E-05,1.09454E-08,6.94739E-09,4.42819E-08,1.19273E-08,2.40999E-08,-1.28513E-11,-1.84895E-10,-1.02166E-10,-3.05886E-10,-8.65547E-11,-1.16569E-10
NIRCAM,NRCA4_FULL,NRCA_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030869,0.030949,52.2768,-459.8097,0.0575,-1,180.0,-1,-89.9732,0.0575,-31.7584,31.8555,31.5084,-31.4051,-31.6166,-31.8098,31.7790,31.6434,2014-01-01,,5,0.00000E+00,3.08693E-02,3.25938E-18,6.17513E-08,-1.66977E-07,-1.39563E-08,9.97219E-12,8.90158E-13,1.02064E-11,5.44843E-13,8.38798E-16,4.56712E-16,1.03082E-15,4.15053E-16,1.53513E-16,1.39926E-19,1.29799E-20,2.86796E-19,1.38050E-20,1.43430E-19,2.10207E-21,0.00000E+00,-1.65225E-05,3.09487E-02,8.39501E-08,7.83763E-08,-8.48999E-08,1.06250E-12,9.44941E-12,1.29923E-12,9.88279E-12,2.29091E-16,7.89033E-16,8.56916E-16,7.60431E-16,5.54358E-16,1.71218E-21,1.55425E-19,1.26313E-20,2.91367E-19,9.95642E-21,1.33877E-19,5.22086E-02,3.23931E+01,3.07267E-02,-2.10251E-03,5.60432E-03,4.58153E-04,-1.25706E-05,-2.16208E-06,-1.06973E-05,-2.75328E-07,-1.63638E-10,-1.37214E-08,-1.00735E-08,-1.37533E-08,-3.06954E-09,-2.37480E-10,-1.13170E-10,-3.93324E-10,-1.26228E-10,-1.61120E-10,-1.91682E-11,7.98267E-02,-1.86349E-02,3.23119E+01,-2.87375E-03,-2.69926E-03,2.79921E-03,-1.55936E-07,-1.21342E-05,-1.92350E-06,-1.06747E-05,-1.60517E-09,-6.75551E-09,-1.80557E-08,-1.14675E-08,-1.55148E-08,-1.39658E-11,-1.85441E-10,-1.04013E-10,-3.06498E-10,-8.73105E-11,-1.16663E-10
NIRCAM,NRCA5_FULL,NRCA_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.062806,0.063110,86.1035,-493.2275,-0.0895,-1,0.0,-1,-90.1333,-0.0895,-65.2481,65.3235,63.7700,-63.7219,-64.6665,-65.2670,64.8713,64.4989,2014-01-01,,5,0.00000E+00,6.28056E-02,-1.35525E-20,1.24906E-07,-7.34276E-07,-9.54588E-08,9.14314E-11,-6.06098E-12,9.75594E-11,-3.07696E-13,1.01024E-15,-3.92019E-15,5.77575E-16,-4.10268E-15,-3.03038E-16,4.67657E-18,5.34602E-19,9.40819E-18,5.71746E-19,4.63213E-18,5.58201E-20,0.00000E+00,-4.79975E-05,6.31105E-02,3.04301E-07,2.31948E-07,-4.38591E-07,-6.94090E-13,8.82800E-11,-6.66028E-12,9.87390E-11,1.15458E-15,1.40232E-15,-1.92936E-15,1.26498E-15,-3.03841E-15,1.09005E-19,5.18432E-18,6.60169E-19,9.54104E-18,5.39537E-19,4.29682E-18,1.06232E-01,1.59171E+01,-2.73959E-02,-3.22246E-04,3.04811E-03,4.18334E-04,-8.82317E-06,-1.78750E-06,-7.40018E-06,-1.79889E-07,1.72566E-08,1.24365E-08,1.88986E-08,7.04428E-09,2.51780E-09,-9.75123E-11,-5.65412E-11,-1.67580E-10,-6.41520E-11,-6.74170E-11,-1.01459E-11,4.81179E-02,3.56649E-02,1.58458E+01,-1.19293E-03,-8.40454E-04,1.77832E-03,-2.72897E-07,-8.25680E-06,-1.12969E-06,-6.78438E-06,3.23609E-09,1.23086E-08,1.08124E-08,1.00812E-08,2.78400E-09,-6.24429E-12,-8.19690E-11,-5.29674E-11,-1.30424E-10,-4.47011E-11,-4.83445E-11
NIRCAM,NRCBS_FULL,NRCB_CNTR,COMPOUND,QUAD,,,,,,,,,,,-82.2869,-496.2056,-0.0632,-1,,-1,,,-61.9000,71.5187,69.7057,-60.4333,-61.9421,-60.8502,70.2780,70.3281,2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIRCAM,NRCB1_FULL,NRCB_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030689,0.030813,-120.9682,-457.7527,0.3750,-1,180.0,-1,-89.6131,0.3750,-31.5891,31.6479,31.3089,-31.2396,-31.6205,-31.5211,31.5440,31.6040,2014-01-01,,5,0.00000E+00,3.06890E-02,2.11419E-18,-2.96210E-09,-1.64147E-07,3.35116E-08,9.44791E-12,1.97338E-12,9.97523E-12,4.67636E-13,7.19800E-16,3.79975E-16,8.92159E-16,3.93181E-16,1.72354E-16,1.39347E-19,-1.13613E-20,2.85954E-19,-1.04778E-20,1.43215E-19,-4.49830E-22,0.00000E+00,6.35640E-06,3.08129E-02,8.40463E-08,-3.80131E-08,-8.25397E-08,8.18139E-13,8.86469E-12,2.29049E-12,9.76814E-12,2.10145E-16,5.92326E-16,8.12240E-16,5.31734E-16,5.69931E-16,-3.48384E-21,1.55739E-19,-1.61234E-20,2.91062E-19,-1.16017E-20,1.33921E-19,-1.31520E+00,3.25198E+01,2.17914E-01,-1.23724E-03,5.79382E-03,-1.28639E-03,-2.37194E-05,2.31557E-06,-1.48786E-05,-9.01861E-08,-8.12534E-08,1.59401E-08,-7.02646E-08,2.38370E-09,-7.75992E-09,-2.37764E-10,1.14038E-10,-3.94119E-10,1.27628E-10,-1.61627E-10,1.96812E-11,1.06726E-01,-2.23968E-01,3.24471E+01,-2.88027E-03,9.16465E-04,2.80346E-03,1.73979E-07,-1.59695E-05,6.58820E-07,-1.14154E-05,2.43360E-09,-4.36887E-08,1.15240E-09,-2.99015E-08,-1.07558E-08,1.28706E-11,-1.84902E-10,1.02172E-10,-3.05868E-10,8.65368E-11,-1.16546E-10
NIRCAM,NRCB2_FULL,NRCB_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.031108,0.031303,-121.1443,-525.4582,0.8301,-1,0.0,-1,-89.2166,0.8301,-32.0601,32.1318,31.6892,-31.6302,-32.1731,-32.1452,31.9238,32.0645,2014-01-01,,5,0.00000E+00,3.11083E-02,5.42101E-20,-3.66176E-09,-2.08037E-07,3.48137E-08,9.94043E-12,-1.96550E-12,1.14580E-11,-9.95717E-13,7.31803E-16,-8.65038E-16,9.39229E-16,-8.54982E-16,1.71057E-16,1.39597E-19,-1.01324E-20,2.86217E-19,-8.70111E-21,1.43218E-19,1.31567E-22,0.00000E+00,-2.53505E-05,3.13032E-02,6.54979E-08,-4.01868E-08,-1.44201E-07,-5.84358E-13,9.46664E-12,-1.50786E-12,1.11706E-11,-1.32721E-16,6.54632E-16,-1.09917E-15,6.24648E-16,-8.93884E-16,-3.95760E-21,1.56032E-19,-1.69154E-20,2.91334E-19,-1.19430E-20,1.33925E-19,-2.54566E+00,3.20384E+01,5.15755E-01,-1.77641E-03,8.04413E-03,-1.52691E-03,-2.66479E-05,1.35430E-05,-1.98009E-05,2.87127E-06,-8.91101E-08,6.91424E-08,-9.61368E-08,4.59822E-08,-1.43424E-08,-2.37624E-10,1.13306E-10,-3.93579E-10,1.26463E-10,-1.61238E-10,1.92571E-11,9.81158E-01,-4.09047E-01,3.19115E+01,-1.68967E-03,2.66078E-04,5.19635E-03,3.72421E-06,-2.04217E-05,9.21802E-06,-1.38663E-05,1.53406E-08,-5.79578E-08,6.37342E-08,-5.36413E-08,2.87678E-08,1.38766E-11,-1.85400E-10,1.03825E-10,-3.06414E-10,8.72029E-11,-1.16621E-10
NIRCAM,NRCB3_FULL,NRCB_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.030824,0.030913,-53.1238,-457.7804,-0.4851,-1,180.0,-1,-90.3833,-0.4851,-31.8069,31.7116,31.3604,-31.4622,-31.8091,-31.5410,31.6500,31.7042,2014-01-01,,5,0.00000E+00,3.08239E-02,1.29562E-17,-6.04786E-08,-1.65914E-07,1.34718E-08,9.89681E-12,-9.54745E-13,1.02169E-11,-5.68366E-13,-8.22010E-16,4.84512E-16,-1.01047E-15,4.44490E-16,-1.50765E-16,1.39318E-19,-1.23381E-20,2.85474E-19,-1.29610E-20,1.42801E-19,-2.00124E-21,0.00000E+00,5.47819E-05,3.09133E-02,8.43453E-08,-7.68342E-08,-8.33416E-08,-1.07270E-12,9.46581E-12,-1.36134E-12,9.97679E-12,2.37440E-16,-7.74143E-16,8.98820E-16,-7.42345E-16,5.89504E-16,-1.62082E-21,1.55354E-19,-1.11419E-20,2.90009E-19,-8.58300E-21,1.33305E-19,-4.94658E-02,3.24395E+01,-2.77114E-01,2.09964E-03,5.54884E-03,-4.87438E-04,-1.26137E-05,2.26274E-06,-1.07933E-05,3.71870E-07,-6.00567E-10,-1.49956E-08,1.00010E-08,-1.49510E-08,3.25855E-09,-2.37803E-10,1.14738E-10,-3.94507E-10,1.28744E-10,-1.61959E-10,2.00922E-11,8.20381E-02,2.24146E-01,3.23480E+01,-2.88686E-03,2.72436E-03,2.73420E-03,8.39501E-08,-1.21885E-05,1.89560E-06,-1.08014E-05,-1.92664E-09,6.45734E-09,-1.96082E-08,1.15697E-08,-1.66185E-08,1.24808E-11,-1.84852E-10,1.01627E-10,-3.05927E-10,8.63780E-11,-1.16638E-10
NIRCAM,NRCB4_FULL,NRCB_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.031254,0.031446,-52.8182,-525.7273,-0.3449,-1,0.0,-1,-90.0746,-0.3449,-32.3041,32.1911,31.7580,-31.8541,-32.5472,-32.0679,32.2086,32.0678,2014-01-01,,5,0.00000E+00,3.12536E-02,0.00000E+00,-6.27937E-08,-2.10565E-07,1.29389E-08,1.01998E-11,3.27215E-12,1.14134E-11,6.71378E-13,-7.92893E-16,-7.64300E-16,-9.24736E-16,-8.06137E-16,-1.30341E-16,1.39776E-19,-1.23405E-20,2.86696E-19,-1.27225E-20,1.43544E-19,-1.75193E-21,0.00000E+00,1.47458E-04,3.14457E-02,6.52092E-08,-8.07024E-08,-1.45969E-07,5.36833E-13,9.68678E-12,3.21205E-12,1.12098E-11,-9.99224E-17,-7.21655E-16,-1.00018E-15,-6.63428E-16,-8.68317E-16,-1.97087E-21,1.55980E-19,-1.21983E-20,2.91446E-19,-9.26391E-21,1.34083E-19,-1.50044E-01,3.19915E+01,-1.93487E-01,1.96182E-03,7.00680E-03,-5.29228E-04,-1.33970E-05,2.64144E-06,-1.22128E-05,3.98437E-07,-8.01263E-09,3.84416E-08,-1.58369E-08,2.89607E-08,-3.50201E-09,-2.37645E-10,1.14558E-10,-3.94195E-10,1.28493E-10,-1.61805E-10,2.00174E-11,1.60558E-02,4.65204E-02,3.17978E+01,-2.05106E-03,2.52395E-03,4.83544E-03,1.01173E-07,-1.37385E-05,1.90088E-06,-1.16524E-05,1.06017E-08,-7.11262E-09,4.26071E-08,-1.16998E-08,2.29532E-08,1.24696E-11,-1.84644E-10,1.01510E-10,-3.05574E-10,8.62742E-11,-1.16500E-10
NIRCAM,NRCB5_FULL,NRCB_CNTR,FULLSCA,QUAD,2048,2048,1024.5,1024.5,2048,2048,1024.5,1024.5,0.062906,0.063219,-89.3892,-491.4440,-0.0088,-1,180.0,-1,-89.9003,-0.0088,-65.4040,65.3690,63.8473,-63.8565,-65.4314,-64.7045,64.7051,64.9107,2014-01-01,,5,0.00000E+00,6.29058E-02,1.08217E-17,-1.10668E-07,-7.31727E-07,1.00139E-07,9.18169E-11,5.79443E-12,9.79147E-11,2.03227E-13,2.02548E-16,-3.53247E-15,8.49386E-16,-3.67188E-15,5.38788E-16,4.72711E-18,-5.15112E-19,9.50977E-18,-5.49129E-19,4.68338E-18,-5.33959E-20,0.00000E+00,1.19138E-04,6.32191E-02,3.08242E-07,-2.22343E-07,-4.32234E-07,9.99309E-13,8.86334E-11,6.74305E-12,9.90820E-11,1.28343E-15,-3.48365E-16,-1.23854E-15,-3.31130E-16,-2.48467E-15,-1.07243E-19,5.23963E-18,-6.32665E-19,9.64446E-18,-5.15787E-19,4.34507E-18,-1.22226E-01,1.58907E+01,-2.51412E-04,2.39761E-04,3.02524E-03,-4.44889E-04,-9.01898E-06,1.85623E-06,-7.47793E-06,1.99586E-07,-1.87248E-08,1.25858E-08,-2.01887E-08,6.99476E-09,-2.64903E-09,-9.73181E-11,5.66098E-11,-1.67345E-10,6.43155E-11,-6.73767E-11,1.02348E-11,5.55049E-02,-2.57606E-02,1.58184E+01,-1.20193E-03,7.91339E-04,1.74126E-03,2.82532E-07,-8.32326E-06,1.13464E-06,-6.78381E-06,3.16620E-09,-1.31540E-08,1.05925E-08,-1.05884E-08,2.49170E-09,6.13104E-12,-8.17230E-11,5.26783E-11,-1.30061E-10,4.45325E-11,-4.82250E-11
NIRCAM,NRCA1_SUB160,NRCA_CNTR,SUBARRAY,QUAD,2048,2048,80.5,1968.5,160,160,80.5,80.5,0.030989,0.031131,91.1720,-498.0725,-0.1280,-1,0.0,-1,-90.1480,-0.1280,-2.4803,2.4804,2.4779,-2.4779,-2.4896,-2.4920,2.4897,2.4907,2014-01-01,,5,0.00000E+00,3.09889E-02,0.00000E+00,2.88218E-08,-1.89695E-07,-2.47367E-08,7.92498E-12,-5.74295E-13,8.90336E-12,1.30996E-13,-5.67332E-17,-3.19158E-16,-9.92847E-17,-3.30445E-16,-3.66697E-17,1.40231E-19,1.19893E-20,2.87248E-19,1.14781E-20,1.43606E-19,8.68649E-22,0.00000E+00,-1.08343E-05,3.11311E-02,7.34138E-08,5.64046E-08,-1.18155E-07,1.68775E-14,7.28121E-12,-7.06409E-13,8.77316E-12,2.55604E-17,-2.68221E-17,-2.73980E-16,-2.45732E-17,-2.87726E-16,3.09402E-21,1.55846E-19,1.53011E-20,2.92016E-19,1.11586E-20,1.34124E-19,3.74608E-01,3.22502E+01,-8.01372E-02,-3.89852E-04,6.63984E-03,9.34953E-04,-1.68628E-05,-4.95861E-06,-1.26753E-05,-7.59334E-07,5.03798E-08,3.41354E-08,5.04542E-08,2.08583E-08,6.91775E-09,-2.37479E-10,-1.14144E-10,-3.93761E-10,-1.27867E-10,-1.61541E-10,-1.98046E-11,1.13426E-01,7.90081E-02,3.21212E+01,-2.35162E-03,-1.63062E-03,4.03190E-03,-1.01540E-06,-1.38871E-05,-3.10209E-06,-1.05363E-05,7.90548E-09,2.98407E-08,2.89511E-08,2.56019E-08,1.01539E-08,-1.25604E-11,-1.84691E-10,-1.01641E-10,-3.05608E-10,-8.63121E-11,-1.16490E-10
NIRCAM,NRCA2_SUB160,NRCA_CNTR,SUBARRAY,QUAD,2048,2048,1968.5,1968.5,160,160,80.5,80.5,0.030959,0.031092,91.0428,-488.9986,-0.0047,-1,180.0,-1,-90.0677,-0.0047,-2.4779,2.4780,2.4756,-2.4755,-2.4845,-2.4906,2.4847,2.4895,2014-01-01,,5,0.00000E+00,3.09593E-02,-3.77184E-18,2.87823E-08,-1.84900E-07,-2.45812E-08,7.87395E-12,-6.41697E-13,8.70971E-12,9.24538E-14,-5.08552E-17,-1.51685E-16,-8.61240E-17,-1.63153E-16,-3.49335E-17,1.40810E-19,1.16874E-20,2.88423E-19,1.12000E-20,1.44211E-19,9.20887E-22,0.00000E+00,-3.40533E-05,3.10916E-02,7.56295E-08,5.60888E-08,-1.10825E-07,5.95776E-16,7.21363E-12,-7.45193E-13,8.57487E-12,7.14161E-17,-1.58871E-17,-1.80047E-17,-9.38595E-18,-9.22291E-17,2.93660E-21,1.56457E-19,1.44448E-20,2.93186E-19,1.04876E-20,1.34689E-19,3.23432E-01,3.22835E+01,-7.36698E-03,-4.41265E-04,6.40535E-03,9.21753E-04,-1.65477E-05,-4.08424E-06,-1.21697E-05,-5.39825E-07,4.91601E-08,2.69593E-08,4.68186E-08,1.49900E-08,6.00217E-09,-2.37306E-10,-1.14376E-10,-3.93618E-10,-1.28296E-10,-1.61562E-10,-1.99897E-11,1.12119E-01,3.45179E-02,3.21636E+01,-2.47317E-03,-1.68880E-03,3.74480E-03,-7.34489E-07,-1.34110E-05,-2.42980E-06,-1.02515E-05,6.17306E-09,2.78525E-08,2.05351E-08,2.23585E-08,4.84905E-09,-1.23401E-11,-1.84428E-10,-1.01210E-10,-3.05232E-10,-8.61003E-11,-1.16375E-10
NIRCAM,NRCA3_SUB160,NRCA_CNTR,SUBARRAY,QUAD,2048,2048,1968.5,1968.5,160,160,80.5,80.5,0.031003,0.031139,81.3486,-498.2281,-0.0989,-1,0.0,-1,-90.1361,-0.0989,-2.4814,2.4816,2.4791,-2.4790,-2.4894,-2.4934,2.4896,2.4920,2014-01-01,,5,0.00000E+00,3.10031E-02,6.77626E-21,3.66337E-08,-1.89923E-07,-2.22303E-08,7.99074E-12,-8.56242E-13,8.91924E-12,4.44109E-14,1.65660E-16,-3.05579E-16,1.73241E-16,-3.24724E-16,8.19780E-18,1.40052E-19,1.23158E-20,2.86856E-19,1.20993E-20,1.43384E-19,1.13913E-21,0.00000E+00,-2.01562E-05,3.11388E-02,7.32824E-08,6.16094E-08,-1.18333E-07,3.81375E-14,7.34853E-12,-8.94028E-13,8.78829E-12,2.94436E-17,1.71404E-16,-2.62951E-16,1.60969E-16,-2.86486E-16,2.82016E-21,1.55616E-19,1.49005E-20,2.91543E-19,1.10400E-20,1.33881E-19,2.31705E-01,3.22443E+01,-6.10750E-02,-8.56131E-04,6.55975E-03,8.09735E-04,-1.51194E-05,-4.01329E-06,-1.18058E-05,-5.55637E-07,3.87317E-08,2.97486E-08,3.88820E-08,1.84237E-08,5.33433E-09,-2.37516E-10,-1.13911E-10,-3.93709E-10,-1.27466E-10,-1.61458E-10,-1.96446E-11,6.77560E-02,7.37895E-02,3.21150E+01,-2.37703E-03,-1.88717E-03,4.01152E-03,-7.39902E-07,-1.31329E-05,-2.58795E-06,-1.03249E-05,7.36952E-09,2.26618E-08,2.61586E-08,1.96828E-08,9.40750E-09,-1.28673E-11,-1.84907E-10,-1.02182E-10,-3.05889E-10,-8.65521E-11,-1.16561E-10
